red_id,sede_id,nombre,url
143,ECEUR,instagram,https://www.instagram.com/arganteue/
144,ECHES,facebook,https://www.facebook.com/ArgentinaEnRepCheca/
145,ECHES,instagram,https://www.instagram.com/argentinaenpraga
146,ECHIN,facebook,https://www.facebook.com/ArgentinaEnChina
147,ECOLO,twitter,https://www.twitter.com/argcolombia
148,ECOLO,facebook,https://www.facebook.com/ArgColombia/?ref=bookmarks
149,ECOLO,instagram,https://www.instagram.com/argentinaencolombia
150,ECORE,facebook,https://www.facebook.com/ArgentinaEnCorea/
151,ECORE,instagram,https://www.instagram.com/embajadaargentinaencorea1/?hl=es
152,ECUBA,facebook,https://www.facebook.com/ArgentinaEnCubaLaHabana/
153,ECUBA,instagram,https://www.instagram.com/argentinaencuba/
154,EDINA,facebook,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/
155,EDINA,instagram,https://www.instagram.com/argentinaindenmark?igsh=dTI4cDN6NHFpYWM0
156,EDINA,otra,https://www.linkedin.com/company/embajada-de-la-rep-blica-argentina-en-dinamarca
157,EDOMI,facebook,https://www.facebook.com/ArgentinaEnRepublicaDominicana/
158,EDOMI,instagram,https://www.instagram.com/argentinaenrd/
159,EEARB,facebook,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos
160,EECUA,facebook,https://www.facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks
161,EECUA,instagram,https://www.instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh
162,EECUA,youtube,https://www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng
163,EEEUU,twitter,https://www.twitter.com/ARGinUSA
164,EEEUU,facebook,https://www.facebook.com/ARGinUSA/
165,EEEUU,instagram,https://www.instagram.com/ARGinUSA/
166,EEEUU,otra,https://www.flickr.com/photos/ARGinUSA/
167,EEEUU,youtube,https://www.youtube.com/ARGinUSA
168,EEEUU,otra,www.linkedin.com/in/ARGinUSA
169,EEGIP,instagram,https://www.instagram.com/argenegipto/
170,EEGIP,twitter,https://www.twitter.com/ARGenEgipto
171,EEGIP,facebook,https://www.facebook.com/ArgentinaenEgipto
172,EEOEA,facebook,https://www.facebook.com/ARGenOEA/
173,EEOEA,instagram,https://www.instagram.com/argenoea/
