sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion
EPBAJ,Sección  Consular,Consular  section,Seccion
CFRAN,Sección  Consular,Consular  Section,Seccion
EMSIA,Sección  Consular,Consular  Section,Sección  Consular
EPNMA,Sección  Consular,Sección  Consular,Seccion
EUNGR,Sección  Consular,Consular  Section,Sección  Consular
CGTEL,Sección  Consular,Cónsul  Adunto,Sección  Consular
EISIA,Sección  Consular,Consular  Section,Seccion
ESURI,Sección  Consular,Consular  Section,Seccion
EIRAN,Sección  Consular,Consular  Section,Sección  Consular
EHOND,Sección  Consular,Sección  Consular,Seccion
EFRAN,Sección  Consular,Consular  Section,Seccion
EGUAT,Sección  Consular,Consulado,Sección  Consular
CSHAN,Sección  Consular,Sección  Consular,Seccion
EJAPO,Sección  Consular,Consular  Affairs,Seccion
EUCRA,Sección  Consular,Consular  Section,Sección  Consular
ERICA,Sección  Consular,Consular  Section,Seccion
CRECI,Sección  Consular,Sección  Consular,Sección  Consular
CPABL,Sección  Consular,Sección  Consular,Sección  Consular
ETAIL,Sección  Consular,Consular  Section,Sección  Consular
EMOZA,Sección  Consular,Consular  Section,Sección  Consular
ETRIA,Sección  Consular,Consular  Section  ,Sección  Consular
ESALV,Sección  Consular  ,SECCIONES  DE  LA  REPRESENTACIÓN  ,Sección  Consular
ESUIZ,Sección  Consular,Consular  Section,Seccion
EAZER,Sección  Consular,Sección  Consular,Sección  Consular
ELBNO,Sección  Consular,Sección  Consular,Sección  Consular
EMARR,Sección  Consular,Consular  Section,Sección  Consular
ENICA,SECCION  CONSULAR,SECCION  CONSULAR,Sección  Consular
ECUBA,Sección  Consular,Consular  Assistance,Seccion
CBARC,Sección  Consular  (Asistencia  /  Canje  licencias  de  conducir  /  Visas),Consular  Section  (Driver´s  license  exchanges),Seccion
CMIAM,Sección  Consular  (Documentación),Consular  section,Seccion
CBARC,Sección  Consular  (Documentación/Asuntos  previsionales),Consular  Section  (Documentation/Pension),Seccion
ECHIN,Sección  Consular  (Ir  a  Consulados),Seccion  Consular,Sección  Consular
CMIAM,Sección  Consular  (Notariales),Sección  Consular  (Opciones  de  Nacionalidad  y  Poderes),Sección  Consular
CBARC,Sección  Consular  (Opción  de  nacionalidad  /  Itinerancias),Consular  Section  (Visas),Sección  Consular
CMIAM,Sección  Consular  (Trámites  generales),Sección  Consular  (Trámites  Generales),Sección  Consular
CMIAM,Sección  Consular  (Visas  y  Asistencia  a  Argentinos),Consular  section  (Visas),Sección  Consular
CBELO,Sección  Consular  /  Trámites  Consulares.,Sección  Consular  /  Trámites  Consulares.,Sección  Consular
